Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Sat, Feb 1, 2020",3:30p,Minnesota Timberwolves,,Los Angeles Clippers,,,,,
"Sat, Feb 1, 2020",7:00p,New York Knicks,,Indiana Pacers,,,,,
"Sat, Feb 1, 2020",7:00p,Miami Heat,,Orlando Magic,,,,,
"Sat, Feb 1, 2020",8:00p,Golden State Warriors,,Cleveland Cavaliers,,,,,
"Sat, Feb 1, 2020",8:00p,Brooklyn Nets,,Washington Wizards,,,,,
"Sat, Feb 1, 2020",8:30p,Philadelphia 76ers,,Boston Celtics,,,,,
"Sat, Feb 1, 2020",8:30p,Atlanta Hawks,,Dallas Mavericks,,,,,
"Sat, Feb 1, 2020",9:00p,Charlotte Hornets,,San Antonio Spurs,,,,,
"Sat, Feb 1, 2020",10:00p,Utah Jazz,,Portland Trail Blazers,,,,,
"Sat, Feb 1, 2020",10:00p,Los Angeles Lakers,,Sacramento Kings,,,,,
"Sun, Feb 2, 2020",12:30p,Denver Nuggets,,Detroit Pistons,,,,,
"Sun, Feb 2, 2020",2:00p,New Orleans Pelicans,,Houston Rockets,,,,,
"Sun, Feb 2, 2020",2:00p,Phoenix Suns,,Milwaukee Bucks,,,,,
"Sun, Feb 2, 2020",3:00p,Chicago Bulls,,Toronto Raptors,,,,,
"Mon, Feb 3, 2020",7:00p,Orlando Magic,,Charlotte Hornets,,,,,
"Mon, Feb 3, 2020",7:00p,New York Knicks,,Cleveland Cavaliers,,,,,
"Mon, Feb 3, 2020",7:00p,Dallas Mavericks,,Indiana Pacers,,,,,
"Mon, Feb 3, 2020",7:00p,Golden State Warriors,,Washington Wizards,,,,,
"Mon, Feb 3, 2020",7:30p,Boston Celtics,,Atlanta Hawks,,,,,
"Mon, Feb 3, 2020",7:30p,Phoenix Suns,,Brooklyn Nets,,,,,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Mon, Feb 3, 2020",7:30p,Philadelphia 76ers,,Miami Heat,,,,,
"Mon, Feb 3, 2020",8:00p,Detroit Pistons,,Memphis Grizzlies,,,,,
"Mon, Feb 3, 2020",10:00p,Minnesota Timberwolves,,Sacramento Kings,,,,,
"Mon, Feb 3, 2020",10:30p,San Antonio Spurs,,Los Angeles Clippers,,,,,
"Tue, Feb 4, 2020",7:30p,Milwaukee Bucks,,New Orleans Pelicans,,,,,
"Tue, Feb 4, 2020",8:00p,Charlotte Hornets,,Houston Rockets,,,,,
"Tue, Feb 4, 2020",10:00p,Portland Trail Blazers,,Denver Nuggets,,,,,
"Tue, Feb 4, 2020",10:30p,San Antonio Spurs,,Los Angeles Lakers,,,,,
"Wed, Feb 5, 2020",7:00p,Phoenix Suns,,Detroit Pistons,,,,,
"Wed, Feb 5, 2020",7:30p,Orlando Magic,,Boston Celtics,,,,,
"Wed, Feb 5, 2020",7:30p,Golden State Warriors,,Brooklyn Nets,,,,,
"Wed, Feb 5, 2020",7:30p,Indiana Pacers,,Toronto Raptors,,,,,
"Wed, Feb 5, 2020",8:00p,Atlanta Hawks,,Minnesota Timberwolves,,,,,
"Wed, Feb 5, 2020",8:00p,Cleveland Cavaliers,,Oklahoma City Thunder,,,,,
"Wed, Feb 5, 2020",8:30p,Memphis Grizzlies,,Dallas Mavericks,,,,,
"Wed, Feb 5, 2020",10:00p,Denver Nuggets,,Utah Jazz,,,,,
"Wed, Feb 5, 2020",10:30p,Miami Heat,,Los Angeles Clippers,,,,,
"Thu, Feb 6, 2020",7:30p,Orlando Magic,,New York Knicks,,,,,
"Thu, Feb 6, 2020",8:00p,New Orleans Pelicans,,Chicago Bulls,,,,,
"Thu, Feb 6, 2020",8:00p,Philadelphia 76ers,,Milwaukee Bucks,,,,,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Thu, Feb 6, 2020",10:00p,San Antonio Spurs,,Portland Trail Blazers,,,,,
"Thu, Feb 6, 2020",10:30p,Houston Rockets,,Los Angeles Lakers,,,,,
"Fri, Feb 7, 2020",7:00p,Memphis Grizzlies,,Philadelphia 76ers,,,,,
"Fri, Feb 7, 2020",7:00p,Dallas Mavericks,,Washington Wizards,,,,,
"Fri, Feb 7, 2020",7:30p,Atlanta Hawks,,Boston Celtics,,,,,
"Fri, Feb 7, 2020",8:00p,Toronto Raptors,,Indiana Pacers,,,,,
"Fri, Feb 7, 2020",8:00p,Detroit Pistons,,Oklahoma City Thunder,,,,,
"Fri, Feb 7, 2020",9:00p,Houston Rockets,,Phoenix Suns,,,,,
"Fri, Feb 7, 2020",10:00p,Miami Heat,,Sacramento Kings,,,,,
"Fri, Feb 7, 2020",10:30p,Portland Trail Blazers,,Utah Jazz,,,,,
"Sat, Feb 8, 2020",5:00p,Milwaukee Bucks,,Orlando Magic,,,,,
"Sat, Feb 8, 2020",7:00p,Dallas Mavericks,,Charlotte Hornets,,,,,
"Sat, Feb 8, 2020",7:00p,New York Knicks,,Detroit Pistons,,,,,
"Sat, Feb 8, 2020",7:30p,New Orleans Pelicans,,Indiana Pacers,,,,,
"Sat, Feb 8, 2020",7:30p,Brooklyn Nets,,Toronto Raptors,,,,,
"Sat, Feb 8, 2020",8:00p,Los Angeles Clippers,,Minnesota Timberwolves,,,,,
"Sat, Feb 8, 2020",8:30p,Los Angeles Lakers,,Golden State Warriors,,,,,
"Sat, Feb 8, 2020",9:00p,Denver Nuggets,,Phoenix Suns,,,,,
"Sat, Feb 8, 2020",10:00p,San Antonio Spurs,,Sacramento Kings,,,,,
"Sun, Feb 9, 2020",3:30p,Boston Celtics,,Oklahoma City Thunder,,,,,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sun, Feb 9, 2020",6:00p,New York Knicks,,Atlanta Hawks,,,,,
"Sun, Feb 9, 2020",6:00p,Chicago Bulls,,Philadelphia 76ers,,,,,
"Sun, Feb 9, 2020",6:00p,Memphis Grizzlies,,Washington Wizards,,,,,
"Sun, Feb 9, 2020",7:00p,Utah Jazz,,Houston Rockets,,,,,
"Sun, Feb 9, 2020",7:30p,Los Angeles Clippers,,Cleveland Cavaliers,,,,,
"Sun, Feb 9, 2020",9:00p,Miami Heat,,Portland Trail Blazers,,,,,
"Mon, Feb 10, 2020",7:00p,Charlotte Hornets,,Detroit Pistons,,,,,
"Mon, Feb 10, 2020",7:00p,Brooklyn Nets,,Indiana Pacers,,,,,
"Mon, Feb 10, 2020",7:00p,Atlanta Hawks,,Orlando Magic,,,,,
"Mon, Feb 10, 2020",7:30p,Minnesota Timberwolves,,Toronto Raptors,,,,,
"Mon, Feb 10, 2020",8:00p,Sacramento Kings,,Milwaukee Bucks,,,,,
"Mon, Feb 10, 2020",8:30p,Utah Jazz,,Dallas Mavericks,,,,,
"Mon, Feb 10, 2020",9:00p,San Antonio Spurs,,Denver Nuggets,,,,,
"Mon, Feb 10, 2020",10:30p,Miami Heat,,Golden State Warriors,,,,,
"Mon, Feb 10, 2020",10:30p,Phoenix Suns,,Los Angeles Lakers,,,,,
"Tue, Feb 11, 2020",7:00p,Los Angeles Clippers,,Philadelphia 76ers,,,,,
"Tue, Feb 11, 2020",7:00p,Chicago Bulls,,Washington Wizards,,,,,
"Tue, Feb 11, 2020",8:00p,Portland Trail Blazers,,New Orleans Pelicans,,,,,
"Tue, Feb 11, 2020",8:00p,San Antonio Spurs,,Oklahoma City Thunder,,,,,
"Tue, Feb 11, 2020",9:30p,Boston Celtics,,Houston Rockets,,,,,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Wed, Feb 12, 2020",7:00p,Atlanta Hawks,,Cleveland Cavaliers,,,,,
"Wed, Feb 12, 2020",7:00p,Detroit Pistons,,Orlando Magic,,,,,
"Wed, Feb 12, 2020",7:30p,Toronto Raptors,,Brooklyn Nets,,,,,
"Wed, Feb 12, 2020",7:30p,Milwaukee Bucks,,Indiana Pacers,,,,,
"Wed, Feb 12, 2020",7:30p,Washington Wizards,,New York Knicks,,,,,
"Wed, Feb 12, 2020",8:00p,Portland Trail Blazers,,Memphis Grizzlies,,,,,
