Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Sun, Mar 1, 2020",1:00p,Milwaukee Bucks,,Charlotte Hornets,,,,,
"Sun, Mar 1, 2020",3:30p,Philadelphia 76ers,,Los Angeles Clippers,,,,,
"Sun, Mar 1, 2020",3:30p,Dallas Mavericks,,Minnesota Timberwolves,,,,,
"Sun, Mar 1, 2020",6:00p,Toronto Raptors,,Denver Nuggets,,,,,
"Sun, Mar 1, 2020",6:00p,Detroit Pistons,,Sacramento Kings,,,,,
"Sun, Mar 1, 2020",8:00p,Los Angeles Lakers,,New Orleans Pelicans,,,,,
"Sun, Mar 1, 2020",8:30p,Washington Wizards,,Golden State Warriors,,,,,
"Mon, Mar 2, 2020",7:00p,Utah Jazz,,Cleveland Cavaliers,,,,,
"Mon, Mar 2, 2020",7:00p,Houston Rockets,,New York Knicks,,,,,
"Mon, Mar 2, 2020",7:00p,Portland Trail Blazers,,Orlando Magic,,,,,
"Mon, Mar 2, 2020",7:30p,Memphis Grizzlies,,Atlanta Hawks,,,,,
"Mon, Mar 2, 2020",7:30p,Milwaukee Bucks,,Miami Heat,,,,,
"Mon, Mar 2, 2020",8:00p,Dallas Mavericks,,Chicago Bulls,,,,,
"Mon, Mar 2, 2020",8:30p,Indiana Pacers,,San Antonio Spurs,,,,,
"Tue, Mar 3, 2020",7:00p,San Antonio Spurs,,Charlotte Hornets,,,,,
"Tue, Mar 3, 2020",7:30p,Brooklyn Nets,,Boston Celtics,,,,,
"Tue, Mar 3, 2020",8:00p,Minnesota Timberwolves,,New Orleans Pelicans,,,,,
"Tue, Mar 3, 2020",8:00p,Los Angeles Clippers,,Oklahoma City Thunder,,,,,
"Tue, Mar 3, 2020",9:00p,Golden State Warriors,,Denver Nuggets,,,,,
"Tue, Mar 3, 2020",9:00p,Toronto Raptors,,Phoenix Suns,,,,,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Tue, Mar 3, 2020",10:00p,Philadelphia 76ers,,Los Angeles Lakers,,,,,
"Tue, Mar 3, 2020",10:00p,Washington Wizards,,Sacramento Kings,,,,,
"Wed, Mar 4, 2020",7:00p,Boston Celtics,,Cleveland Cavaliers,,,,,
"Wed, Mar 4, 2020",7:00p,Oklahoma City Thunder,,Detroit Pistons,,,,,
"Wed, Mar 4, 2020",7:00p,Orlando Magic,,Miami Heat,,,,,
"Wed, Mar 4, 2020",7:30p,Memphis Grizzlies,,Brooklyn Nets,,,,,
"Wed, Mar 4, 2020",7:30p,Utah Jazz,,New York Knicks,,,,,
"Wed, Mar 4, 2020",8:00p,Chicago Bulls,,Minnesota Timberwolves,,,,,
"Wed, Mar 4, 2020",8:30p,New Orleans Pelicans,,Dallas Mavericks,,,,,
"Wed, Mar 4, 2020",9:30p,Indiana Pacers,,Milwaukee Bucks,,,,,
"Wed, Mar 4, 2020",10:00p,Washington Wizards,,Portland Trail Blazers,,,,,
"Thu, Mar 5, 2020",7:00p,Denver Nuggets,,Charlotte Hornets,,,,,
"Thu, Mar 5, 2020",8:00p,Los Angeles Clippers,,Houston Rockets,,,,,
"Thu, Mar 5, 2020",10:00p,Philadelphia 76ers,,Sacramento Kings,,,,,
"Thu, Mar 5, 2020",10:30p,Toronto Raptors,,Golden State Warriors,,,,,
"Fri, Mar 6, 2020",7:00p,Atlanta Hawks,,Washington Wizards,,,,,
"Fri, Mar 6, 2020",7:30p,San Antonio Spurs,,Brooklyn Nets,,,,,
"Fri, Mar 6, 2020",7:30p,Oklahoma City Thunder,,New York Knicks,,,,,
"Fri, Mar 6, 2020",8:00p,Utah Jazz,,Boston Celtics,,,,,
"Fri, Mar 6, 2020",8:00p,Indiana Pacers,,Chicago Bulls,,,,,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Fri, Mar 6, 2020",8:00p,Orlando Magic,,Minnesota Timberwolves,,,,,
"Fri, Mar 6, 2020",8:00p,Miami Heat,,New Orleans Pelicans,,,,,
"Fri, Mar 6, 2020",8:30p,Memphis Grizzlies,,Dallas Mavericks,,,,,
"Fri, Mar 6, 2020",9:00p,Portland Trail Blazers,,Phoenix Suns,,,,,
"Fri, Mar 6, 2020",10:30p,Milwaukee Bucks,,Los Angeles Lakers,,,,,
"Sat, Mar 7, 2020",5:00p,Houston Rockets,,Charlotte Hornets,,,,,
"Sat, Mar 7, 2020",7:00p,Utah Jazz,,Detroit Pistons,,,,,
"Sat, Mar 7, 2020",7:30p,Denver Nuggets,,Cleveland Cavaliers,,,,,
"Sat, Mar 7, 2020",8:00p,Atlanta Hawks,,Memphis Grizzlies,,,,,
"Sat, Mar 7, 2020",8:30p,Philadelphia 76ers,,Golden State Warriors,,,,,
"Sat, Mar 7, 2020",10:00p,Sacramento Kings,,Portland Trail Blazers,,,,,
"Sun, Mar 8, 2020",3:00p,Chicago Bulls,,Brooklyn Nets,,,,,
"Sun, Mar 8, 2020",3:30p,Los Angeles Lakers,,Los Angeles Clippers,,,,,
"Sun, Mar 8, 2020",3:30p,New Orleans Pelicans,,Minnesota Timberwolves,,,,,
"Sun, Mar 8, 2020",6:00p,Oklahoma City Thunder,,Boston Celtics,,,,,
"Sun, Mar 8, 2020",6:00p,Milwaukee Bucks,,Phoenix Suns,,,,,
"Sun, Mar 8, 2020",7:00p,Indiana Pacers,,Dallas Mavericks,,,,,
"Sun, Mar 8, 2020",7:00p,Orlando Magic,,Houston Rockets,,,,,
"Sun, Mar 8, 2020",7:00p,Miami Heat,,Washington Wizards,,,,,
"Sun, Mar 8, 2020",7:30p,San Antonio Spurs,,Cleveland Cavaliers,,,,,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sun, Mar 8, 2020",7:30p,Detroit Pistons,,New York Knicks,,,,,
"Sun, Mar 8, 2020",9:00p,Toronto Raptors,,Sacramento Kings,,,,,
"Mon, Mar 9, 2020",7:30p,Charlotte Hornets,,Atlanta Hawks,,,,,
"Mon, Mar 9, 2020",9:00p,Milwaukee Bucks,,Denver Nuggets,,,,,
"Mon, Mar 9, 2020",9:00p,Toronto Raptors,,Utah Jazz,,,,,
"Tue, Mar 10, 2020",7:00p,Boston Celtics,,Indiana Pacers,,,,,
"Tue, Mar 10, 2020",7:00p,New York Knicks,,Washington Wizards,,,,,
"Tue, Mar 10, 2020",8:00p,Cleveland Cavaliers,,Chicago Bulls,,,,,
"Tue, Mar 10, 2020",8:00p,Minnesota Timberwolves,,Houston Rockets,,,,,
"Tue, Mar 10, 2020",8:00p,Orlando Magic,,Memphis Grizzlies,,,,,
"Tue, Mar 10, 2020",8:00p,Dallas Mavericks,,San Antonio Spurs,,,,,
"Tue, Mar 10, 2020",10:00p,Phoenix Suns,,Portland Trail Blazers,,,,,
"Tue, Mar 10, 2020",10:30p,Los Angeles Clippers,,Golden State Warriors,,,,,
"Tue, Mar 10, 2020",10:30p,Brooklyn Nets,,Los Angeles Lakers,,,,,
"Wed, Mar 11, 2020",7:30p,New York Knicks,,Atlanta Hawks,,,,,
"Wed, Mar 11, 2020",7:30p,Charlotte Hornets,,Miami Heat,,,,,
"Wed, Mar 11, 2020",7:30p,Detroit Pistons,,Philadelphia 76ers,,,,,
"Wed, Mar 11, 2020",8:00p,Utah Jazz,,Oklahoma City Thunder,,,,,
"Wed, Mar 11, 2020",8:30p,Denver Nuggets,,Dallas Mavericks,,,,,
"Wed, Mar 11, 2020",10:00p,New Orleans Pelicans,,Sacramento Kings,,,,,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Thu, Mar 12, 2020",7:00p,Chicago Bulls,,Orlando Magic,,,,,
"Thu, Mar 12, 2020",8:00p,Boston Celtics,,Milwaukee Bucks,,,,,
"Thu, Mar 12, 2020",10:00p,Memphis Grizzlies,,Portland Trail Blazers,,,,,
"Thu, Mar 12, 2020",10:30p,Brooklyn Nets,,Golden State Warriors,,,,,
"Thu, Mar 12, 2020",10:30p,Houston Rockets,,Los Angeles Lakers,,,,,
"Fri, Mar 13, 2020",7:00p,Cleveland Cavaliers,,Charlotte Hornets,,,,,
"Fri, Mar 13, 2020",7:30p,Washington Wizards,,Boston Celtics,,,,,
"Fri, Mar 13, 2020",8:00p,New York Knicks,,Miami Heat,,,,,
"Fri, Mar 13, 2020",8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,,,,,
"Fri, Mar 13, 2020",8:30p,Denver Nuggets,,San Antonio Spurs,,,,,
"Fri, Mar 13, 2020",9:00p,New Orleans Pelicans,,Utah Jazz,,,,,
"Fri, Mar 13, 2020",10:30p,Brooklyn Nets,,Los Angeles Clippers,,,,,
"Sat, Mar 14, 2020",2:00p,Phoenix Suns,,Dallas Mavericks,,,,,
"Sat, Mar 14, 2020",7:30p,Cleveland Cavaliers,,Atlanta Hawks,,,,,
"Sat, Mar 14, 2020",7:30p,Indiana Pacers,,Philadelphia 76ers,,,,,
"Sat, Mar 14, 2020",7:30p,Detroit Pistons,,Toronto Raptors,,,,,
"Sat, Mar 14, 2020",8:00p,Chicago Bulls,,Miami Heat,,,,,
"Sat, Mar 14, 2020",8:30p,Golden State Warriors,,Milwaukee Bucks,,,,,
"Sat, Mar 14, 2020",8:30p,Minnesota Timberwolves,,San Antonio Spurs,,,,,
"Sat, Mar 14, 2020",9:00p,Memphis Grizzlies,,Utah Jazz,,,,,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sat, Mar 14, 2020",10:30p,New Orleans Pelicans,,Los Angeles Clippers,,,,,
"Sun, Mar 15, 2020",3:30p,Houston Rockets,,Portland Trail Blazers,,,,,
"Sun, Mar 15, 2020",6:00p,Charlotte Hornets,,Orlando Magic,,,,,
